,Title,Link
35,quality assurance staff - qa staff/ nhân viên đảm bảo chất lượng(new),https://www.vietnamworks.com/quality-assurance-staff-qa-staff-nhan-vien-dam-bao-chat-luong-1-1436593-jd/?source=searchResults&searchType=2&placement=1436594&sortBy=date
36,production control staff - nhân viên quản lý sản xuất (01 permanent & 01 short term 7 months)(new),https://www.vietnamworks.com/production-control-staff-nhan-vien-quan-ly-san-xuat-01-permanent-01-short-term-7-months-1-1436592-jd/?source=searchResults&searchType=2&placement=1436593&sortBy=date
37,cán bộ môi giới – vcbs hội sở chính(new),https://www.vietnamworks.com/can-bo-moi-gioi-vcbs-hoi-so-chinh-1-1436582-jd/?source=searchResults&searchType=2&placement=1436583&sortBy=date
38,it staff(new),https://www.vietnamworks.com/it-staff-147-1-1-1436569-jd/?source=searchResults&searchType=2&placement=1436570&sortBy=date
39,[hn - hcm] - chuyên viên kinh doanh thiết bị y tế(new),https://www.vietnamworks.com/hn-hcm-chuyen-vien-kinh-doanh-thiet-bi-y-te-1-1436568-jd/?source=searchResults&searchType=2&placement=1436569&sortBy=date
40,junior project manager ( it communicator)(new),https://www.vietnamworks.com/junior-project-manager-it-communicator-1-1436563-jd/?source=searchResults&searchType=2&placement=1436564&sortBy=date
41,họa viên kết cấu(new),https://www.vietnamworks.com/hoa-vien-ket-cau-14-1-1436556-jd/?source=searchResults&searchType=2&placement=1436557&sortBy=date
42,production engineering staff (01 person)/nhân viên kỹ thuật sản xuất(new),https://www.vietnamworks.com/production-engineering-staff-01-person-nhan-vien-ky-thuat-san-xuat-1436555-jd/?source=searchResults&searchType=2&placement=1436556&sortBy=date
43,senior devops engineer(new),https://www.vietnamworks.com/senior-devops-engineer-25-1-1-1436548-jd/?source=searchResults&searchType=2&placement=1436549&sortBy=date
44,java developer – 2+ years’ experience(new),https://www.vietnamworks.com/java-developer-2-years-experience-1-1-1436545-jd/?source=searchResults&searchType=2&placement=1436546&sortBy=date
45,front-end web developer (html/css/js -up to $900)(new),https://www.vietnamworks.com/front-end-web-developer-html-css-js-up-to-900-4-1-1436533-jd/?source=searchResults&searchType=2&placement=1436534&sortBy=date
46,copywriter/ux writer(new),https://www.vietnamworks.com/copywriter-ux-writer-1436529-jd/?source=searchResults&searchType=2&placement=1436530&sortBy=date
47,thiết kế mô hình 3d (thiệp 3d pop-up cards )(new),https://www.vietnamworks.com/thiet-ke-mo-hinh-3d-thiep-3d-pop-up-cards-4-1436514-jd/?source=searchResults&searchType=2&placement=1436515&sortBy=date
48,nữ nhân viên kinh doanh quốc tế - chỉ yêu cầu tiếng anh (chấp nhận sinh viên mới ra trường)(new),https://www.vietnamworks.com/nu-nhan-vien-kinh-doanh-quoc-te-chi-yeu-cau-tieng-anh-chap-nhan-sinh-vien-moi-ra-truong-2-1436507-jd/?source=searchResults&searchType=2&placement=1436508&sortBy=date
49,chuyên viên seo marketing(new),https://www.vietnamworks.com/chuyen-vien-seo-marketing-6-1436501-jd/?source=searchResults&searchType=2&placement=1436502&sortBy=date
50,reporting & data management assistant manager(new),https://www.vietnamworks.com/reporting-data-management-assistant-manager-1436496-jd/?source=searchResults&searchType=2&placement=1436497&sortBy=date
51,senior backend engineer (java)(new),https://www.vietnamworks.com/senior-backend-engineer-java-1-1-1436486-jd/?source=searchResults&searchType=2&placement=1436487&sortBy=date
52,"mobile apps dev (android, java, kotlin)(new)",https://www.vietnamworks.com/mobile-apps-dev-android-java-kotlin-1-1-1-1436483-jd/?source=searchResults&searchType=2&placement=1436484&sortBy=date
53,thiết kế đồ họa vi tính – computer graphic designer(new),https://www.vietnamworks.com/thiet-ke-do-hoa-vi-tinh-computer-graphic-designer-3-1-1-1-1-1-3-1436481-jd/?source=searchResults&searchType=2&placement=1436482&sortBy=date
54,software engineer in test(new),https://www.vietnamworks.com/software-engineer-in-test-5-2-1-1-1-1436480-jd/?source=searchResults&searchType=2&placement=1436481&sortBy=date
55,senior qa automation engineer(new),https://www.vietnamworks.com/senior-qa-automation-engineer-11-1-1-1436477-jd/?source=searchResults&searchType=2&placement=1436478&sortBy=date
56,senior tech recruiter(new),https://www.vietnamworks.com/senior-tech-recruiter-3-1-1436434-jd/?source=searchResults&searchType=2&placement=1436435&sortBy=date
57,kiến trúc sư cảnh quan(new),https://www.vietnamworks.com/kien-truc-su-canh-quan-37-1-1436420-jd/?source=searchResults&searchType=2&placement=1436421&sortBy=date
58,assistant director of sales(new),https://www.vietnamworks.com/assistant-director-of-sales-16-1436419-jd/?source=searchResults&searchType=2&placement=1436420&sortBy=date
59,fresher data engineer(new),https://www.vietnamworks.com/fresher-data-engineer-1436415-jd/?source=searchResults&searchType=2&placement=1436416&sortBy=date
60,fresher c#/.net(new),https://www.vietnamworks.com/fresher-c-sharp-net-1-1436411-jd/?source=searchResults&searchType=2&placement=1436412&sortBy=date
61,fresher tester(new),https://www.vietnamworks.com/fresher-tester-1-1436405-jd/?source=searchResults&searchType=2&placement=1436406&sortBy=date
62,fresher java(new),https://www.vietnamworks.com/fresher-java-1-1436391-jd/?source=searchResults&searchType=2&placement=1436392&sortBy=date
63,production superintendent(new),https://www.vietnamworks.com/production-superintendent-3-1-1-1436365-jd/?source=searchResults&searchType=2&placement=1436366&sortBy=date
64,marketing director(new),https://www.vietnamworks.com/marketing-director-134-1-1436364-jd/?source=searchResults&searchType=2&placement=1436365&sortBy=date
65,technical writer manager(new),https://www.vietnamworks.com/technical-writer-manager-1-1436361-jd/?source=searchResults&searchType=2&placement=1436362&sortBy=date
66,material controller(new),https://www.vietnamworks.com/material-controller-5-1-1436350-jd/?source=searchResults&searchType=2&placement=1436351&sortBy=date
67,sales engineer(new),https://www.vietnamworks.com/sales-engineer-737-1436349-jd/?source=searchResults&searchType=2&placement=1436350&sortBy=date
68,nhân viên kinh doanh thị trường(new),https://www.vietnamworks.com/nhan-vien-kinh-doanh-thi-truong-103-1-1436326-jd/?source=searchResults&searchType=2&placement=1436327&sortBy=date
69,kỹ sư giám sát(new),https://www.vietnamworks.com/ky-su-giam-sat-33-1-1436321-jd/?source=searchResults&searchType=2&placement=1436522&sortBy=date
70,kỹ sư điện(new),https://www.vietnamworks.com/ky-su-dien-618-1-1436320-jd/?source=searchResults&searchType=2&placement=1436521&sortBy=date
71,technical services manager and formulation manager- asia(new),https://www.vietnamworks.com/technical-services-manager-and-formulation-manager-asia-1436311-jd/?source=searchResults&searchType=2&placement=1436512&sortBy=date
72,kỹ sư quản lý chất lượng nhà cung cấp - sqe (tiếng trung/tiếng anh)(new),https://www.vietnamworks.com/ky-su-quan-ly-chat-luong-nha-cung-cap-sqe-tieng-trung-tieng-anh-1-1436297-jd/?source=searchResults&searchType=2&placement=1436498&sortBy=date
73,trưởng bộ phận quản lý chất lượng(new),https://www.vietnamworks.com/truong-bo-phan-quan-ly-chat-luong-12-1-1436296-jd/?source=searchResults&searchType=2&placement=1436497&sortBy=date
74,kiến trúc sư ( kỹ sư thiết kế )(new),https://www.vietnamworks.com/kien-truc-su-ky-su-thiet-ke-74-1436261-jd/?source=searchResults&searchType=2&placement=1436462&sortBy=date
75,"kỹ sư bảo trì, điện - tự động hóa(new)",https://www.vietnamworks.com/ky-su-bao-tri-dien-tu-dong-hoa-1436253-jd/?source=searchResults&searchType=2&placement=1436454&sortBy=date
76,[khu vực hà nội] chuyên viên tư vấn tài chính cấp cao – kênh hợp tác ngân hàng nước ngoài(new),https://www.vietnamworks.com/khu-vuc-ha-noi-chuyen-vien-tu-van-tai-chinh-cap-cao-kenh-hop-tac-ngan-hang-nuoc-ngoai-1436250-jd/?source=searchResults&searchType=2&placement=1436451&sortBy=date
77,[khu vực hcm] chuyên viên tư vấn tài chính cấp cao – kênh hợp tác ngân hàng nước ngoài(new),https://www.vietnamworks.com/khu-vuc-hcm-chuyen-vien-tu-van-tai-chinh-cap-cao-kenh-hop-tac-ngan-hang-nuoc-ngoai-1436226-jd/?source=searchResults&searchType=2&placement=1436427&sortBy=date
78,chuyên gia nghiên cứu và phát triển sản phẩm tín dụng - k.khdn(new),https://www.vietnamworks.com/chuyen-gia-nghien-cuu-va-phat-trien-san-pham-tin-dung-k-khdn-1436220-jd/?source=searchResults&searchType=2&placement=1436421&sortBy=date
79,chuyên viên kinh doanh ngoại hối 2 - phòng kinh doanh ngoại hối và sản phẩm phái sinh(new),https://www.vietnamworks.com/chuyen-vien-kinh-doanh-ngoai-hoi-2-phong-kinh-doanh-ngoai-hoi-va-san-pham-phai-sinh-1436216-jd/?source=searchResults&searchType=2&placement=1436417&sortBy=date
80,chuyên viên kiểm thử - k.cntt(new),https://www.vietnamworks.com/chuyen-vien-kiem-thu-k-cntt-1436211-jd/?source=searchResults&searchType=2&placement=1436412&sortBy=date
81,"lập trình viên java, j2ee/web service/jms, oracle database ( non-mobile application)(new)",https://www.vietnamworks.com/lap-trinh-vien-java-j2ee-web-service-jms-oracle-database-non-mobile-application-1436206-jd/?source=searchResults&searchType=2&placement=1436407&sortBy=date
82,chuyên viên soc và hỗ trợ dự án security(new),https://www.vietnamworks.com/chuyen-vien-soc-va-ho-tro-du-an-security-1-1436196-jd/?source=searchResults&searchType=2&placement=1436397&sortBy=date
83,sales executive - nhân viên kinh doanh(new),https://www.vietnamworks.com/sales-executive-nhan-vien-kinh-doanh-135-1436192-jd/?source=searchResults&searchType=2&placement=1436393&sortBy=date
84,chuyên viên đào tạo (tiếng anh giao tiếp thành thạo)(new),https://www.vietnamworks.com/chuyen-vien-dao-tao-tieng-anh-giao-tiep-thanh-thao-1436181-jd/?source=searchResults&searchType=2&placement=1436382&sortBy=date
85,cloud data engineer - salary up to 4000$ & joining bonus up to 30m vnd(new),https://www.vietnamworks.com/cloud-data-engineer-salary-up-to-4000-joining-bonus-up-to-30m-vnd-1-1-1435163-jd/?source=searchResults&searchType=2&placement=1435364&sortBy=date
86,kỹ sư công nghệ thông tin - 10 người(new),https://www.vietnamworks.com/ky-su-cong-nghe-thong-tin-10-nguoi-1-1435142-jd/?source=searchResults&searchType=2&placement=1435343&sortBy=date
87,tuyển dev reactjs/ react native(new),https://www.vietnamworks.com/tuyen-dev-reactjs-react-native-2-1435139-jd/?source=searchResults&searchType=2&placement=1435340&sortBy=date
88,senior it recruiter(new),https://www.vietnamworks.com/senior-it-recruiter-50-1435079-jd/?source=searchResults&searchType=2&placement=1435280&sortBy=date
89,scrum master(new),https://www.vietnamworks.com/scrum-master-56-1-1435000-jd/?source=searchResults&searchType=2&placement=1435201&sortBy=date
90,it business analyst - crm/ecommerce system - attractive salary & benefits(new),https://www.vietnamworks.com/it-business-analyst-crm-ecommerce-system-attractive-salary-benefits-1434908-jd/?source=searchResults&searchType=2&placement=1435109&sortBy=date
91,data analyst (mức lương 15-23 triệu)(new),https://www.vietnamworks.com/data-analyst-muc-luong-15-23-trieu-1-1-1434896-jd/?source=searchResults&searchType=2&placement=1435097&sortBy=date
92,"trưởng phòng phát triển phần mềm (pm, 30-45m)(new)",https://www.vietnamworks.com/truong-phong-phat-trien-phan-mem-pm-30-45m-1434889-jd/?source=searchResults&searchType=2&placement=1435090&sortBy=date
93,02 nhân viên it(new),https://www.vietnamworks.com/02-nhan-vien-it-5-1-1434886-jd/?source=searchResults&searchType=2&placement=1435087&sortBy=date
94,technical architect (java/nodejs)(new),https://www.vietnamworks.com/technical-architect-java-nodejs-1434793-jd/?source=searchResults&searchType=2&placement=1434994&sortBy=date
95,broadcast technician (game studio)(new),https://www.vietnamworks.com/broadcast-technician-game-studio-1434781-jd/?source=searchResults&searchType=2&placement=1434982&sortBy=date
96,devops/ system engineer(new),https://www.vietnamworks.com/devops-system-engineer-4-1-1-1-1434772-jd/?source=searchResults&searchType=2&placement=1434973&sortBy=date
97,data engineer (14 - 50 triệu)(new),https://www.vietnamworks.com/data-engineer-14-50-trieu-1-1-1-1434768-jd/?source=searchResults&searchType=2&placement=1434969&sortBy=date
98,project manager (software)(new),https://www.vietnamworks.com/project-manager-software-2-1434759-jd/?source=searchResults&searchType=2&placement=1434960&sortBy=date
99,phó giám đốc chi nhánh(new),https://www.vietnamworks.com/pho-giam-doc-chi-nhanh-30-1-1434756-jd/?source=searchResults&searchType=2&placement=1434957&sortBy=date
100,product specialist - financial services(new),https://www.vietnamworks.com/product-specialist-financial-services-1433933-jd/?source=searchResults&searchType=2&placement=1434134&sortBy=date
101,fresher 5g engineer(new),https://www.vietnamworks.com/fresher-5g-engineer-1433916-jd/?source=searchResults&searchType=2&placement=1434117&sortBy=date
102,backend developer(new),https://www.vietnamworks.com/backend-developer-37-1-1433908-jd/?source=searchResults&searchType=2&placement=1434109&sortBy=date
103,hr officer(new),https://www.vietnamworks.com/hr-officer-121-1-1433906-jd/?source=searchResults&searchType=2&placement=1434107&sortBy=date
104,simulation tool developer(new),https://www.vietnamworks.com/simulation-tool-developer-1-1433900-jd/?source=searchResults&searchType=2&placement=1434101&sortBy=date
105,trưởng phòng kinh doanh(new),https://www.vietnamworks.com/truong-phong-kinh-doanh-1660-1-1433879-jd/?source=searchResults&searchType=2&placement=1434080&sortBy=date
106,nhân viên kỹ thuật công nghệ(new),https://www.vietnamworks.com/nhan-vien-ky-thuat-cong-nghe-7-1-1433860-jd/?source=searchResults&searchType=2&placement=1434061&sortBy=date
107,phó phòng pháp chế và tuân thủ (legal and compliance deputy manager)(new),https://www.vietnamworks.com/pho-phong-phap-che-va-tuan-thu-legal-and-compliance-deputy-manager-1433859-jd/?source=searchResults&searchType=2&placement=1434060&sortBy=date
108,[r&d] mechanical simulation engineer (with matlab or python skill)(new),https://www.vietnamworks.com/r-d-mechanical-simulation-engineer-with-matlab-or-python-skill-1-1-2-1433851-jd/?source=searchResults&searchType=2&placement=1434052&sortBy=date
109,nhân viên truyền thông - làm tại hải dương(new),https://www.vietnamworks.com/nhan-vien-truyen-thong-lam-tai-hai-duong-1-1-1-1433836-jd/?source=searchResults&searchType=2&placement=1434037&sortBy=date
110,kỹ sư cơ - hvac(new),https://www.vietnamworks.com/ky-su-co-hvac-2-1433818-jd/?source=searchResults&searchType=2&placement=1434019&sortBy=date
111,nhân viên kinh doanh thiết bị y tế(new),https://www.vietnamworks.com/nhan-vien-kinh-doanh-thiet-bi-y-te-127-1-1-1-1433802-jd/?source=searchResults&searchType=2&placement=1434003&sortBy=date
112,[hot job] trưởng nhóm kinh doanh thương mại quốc tế (lương hấp dẫn từ 15 - 30 triệu)(new),https://www.vietnamworks.com/hot-job-truong-nhom-kinh-doanh-thuong-mai-quoc-te-luong-hap-dan-tu-15-30-trieu-1433800-jd/?source=searchResults&searchType=2&placement=1434001&sortBy=date
113,chuyên viên tư vấn bảo hiểm nhân thọ - kênh full time agent (toàn thời gian)(new),https://www.vietnamworks.com/chuyen-vien-tu-van-bao-hiem-nhan-tho-kenh-full-time-agent-toan-thoi-gian-1433796-jd/?source=searchResults&searchType=2&placement=1433997&sortBy=date
114,product owner(new),https://www.vietnamworks.com/product-owner-86-1433788-jd/?source=searchResults&searchType=2&placement=1433989&sortBy=date
115,big data - hadoop engineer (up to 4000usd)(new),https://www.vietnamworks.com/big-data-hadoop-engineer-up-to-4000usd-2-1433773-jd/?source=searchResults&searchType=2&placement=1433974&sortBy=date
116,lập trình viên fullstack(new),https://www.vietnamworks.com/lap-trinh-vien-fullstack-1-1433768-jd/?source=searchResults&searchType=2&placement=1433969&sortBy=date
117,trưởng nhóm thiết kế m&e cho dự án nhà máy(new),https://www.vietnamworks.com/truong-nhom-thiet-ke-m-e-cho-du-an-nha-may-1433749-jd/?source=searchResults&searchType=2&placement=1433950&sortBy=date
118,new product development engineer(15 ~ 30 triệu /tháng)(new),https://www.vietnamworks.com/new-product-development-engineer-15-30-trieu-thang-1433725-jd/?source=searchResults&searchType=2&placement=1433926&sortBy=date
119,corporate reappraisal officer(new),https://www.vietnamworks.com/corporate-reappraisal-officer-1-1433717-jd/?source=searchResults&searchType=2&placement=1433918&sortBy=date
120,kỹ sư kinh doanh(new),https://www.vietnamworks.com/ky-su-kinh-doanh-50-1433703-jd/?source=searchResults&searchType=2&placement=1433904&sortBy=date
121,"lập trình viên c#, java(new)",https://www.vietnamworks.com/lap-trinh-vien-c-sharp-java-1433690-jd/?source=searchResults&searchType=2&placement=1433891&sortBy=date
122,giám đốc sàn giao dịch(new),https://www.vietnamworks.com/giam-doc-san-giao-dich-2-1-1-1433614-jd/?source=searchResults&searchType=2&placement=1433815&sortBy=date
123,lập trình viên .net(new),https://www.vietnamworks.com/lap-trinh-vien-net-135-1-1433603-jd/?source=searchResults&searchType=2&placement=1433804&sortBy=date
124,junior analog circuit design engineer(new),https://www.vietnamworks.com/junior-analog-circuit-design-engineer-1433591-jd/?source=searchResults&searchType=2&placement=1433792&sortBy=date
125,senior software developer (java/javascript)(new),https://www.vietnamworks.com/senior-software-developer-java-javascript-1-1-1433574-jd/?source=searchResults&searchType=2&placement=1433775&sortBy=date
126,back- end engineer(new),https://www.vietnamworks.com/back-end-engineer-12-1-1433571-jd/?source=searchResults&searchType=2&placement=1433772&sortBy=date
127,trucking operator(new),https://www.vietnamworks.com/trucking-operator-1433557-jd/?source=searchResults&searchType=2&placement=1433758&sortBy=date
128,test engineer – sign on bonus & salary up to 1500$(new),https://www.vietnamworks.com/test-engineer-sign-on-bonus-salary-up-to-1500-1-1433518-jd/?source=searchResults&searchType=2&placement=1433719&sortBy=date
129,"web developer (java, spring, angularjs) salary up to 2000$(new)",https://www.vietnamworks.com/web-developer-java-spring-angularjs-salary-up-to-2000-1-1433506-jd/?source=searchResults&searchType=2&placement=1433707&sortBy=date
130,senior ui/ux designer (thu nhập lên đến $1500)(new),https://www.vietnamworks.com/senior-ui-ux-designer-thu-nhap-len-den-1500-2-1-1433505-jd/?source=searchResults&searchType=2&placement=1433706&sortBy=date
131,"manager, credit analytics & portfolio monitoring – risk management(new)",https://www.vietnamworks.com/manager-credit-analytics-portfolio-monitoring-risk-management-1433485-jd/?source=searchResults&searchType=2&placement=1433686&sortBy=date
132,associate product owner / it comtor ( salary upto $1500 )(new),https://www.vietnamworks.com/associate-product-owner-it-comtor-salary-upto-1500-1429049-jd/?source=searchResults&searchType=2&placement=1429250&sortBy=date
133,system admin - it support (thu nhập up to 25m)(new),https://www.vietnamworks.com/system-admin-it-support-thu-nhap-up-to-25m-1430209-jd/?source=searchResults&searchType=2&placement=1430410&sortBy=date
134,landscape executive(new),https://www.vietnamworks.com/landscape-executive-1439428-jd/?source=searchResults&searchType=2&placement=1439629&sortBy=date
135,embedded software engineer(new),https://www.vietnamworks.com/embedded-software-engineer-62-1-1-1-1-1439368-jd/?source=searchResults&searchType=2&placement=1439569&sortBy=date
136,compensation & benefits manager – 1 year contract(new),https://www.vietnamworks.com/compensation-benefits-manager-1-year-contract-1439463-jd/?source=searchResults&searchType=2&placement=1439864&sortBy=date
137,sales manager(new),https://www.vietnamworks.com/sales-manager-1416-1439420-jd/?source=searchResults&searchType=2&placement=1439821&sortBy=date
138,import & export supervisor/ manager(new),https://www.vietnamworks.com/import-export-supervisor-manager-1439391-jd/?source=searchResults&searchType=2&placement=1439792&sortBy=date
139,chuyên viên lập trình(new),https://www.vietnamworks.com/chuyen-vien-lap-trinh-46-1-1439125-jd/?source=searchResults&searchType=2&placement=1439526&sortBy=date
140,assistant production manager(new),https://www.vietnamworks.com/assistant-production-manager-23-1438895-jd/?source=searchResults&searchType=2&placement=1439296&sortBy=date
141,trưởng nhóm hệ thống và chính sách nhân sự(new),https://www.vietnamworks.com/truong-nhom-he-thong-va-chinh-sach-nhan-su-1437923-jd/?source=searchResults&searchType=2&placement=1438324&sortBy=date
142,ground/ trucking planner (supervision level)(new),https://www.vietnamworks.com/ground-trucking-planner-supervision-level-1-1-1-1436709-jd/?source=searchResults&searchType=2&placement=1437110&sortBy=date
143,operation supervisor (e-commerce)/ quản lý dự án mảng tmđt(new),https://www.vietnamworks.com/operation-supervisor-e-commerce-quan-ly-du-an-mang-tmdt-1-1436668-jd/?source=searchResults&searchType=2&placement=1437069&sortBy=date
144,urgent - accountant staff(new),https://www.vietnamworks.com/urgent-accountant-staff-5-1436666-jd/?source=searchResults&searchType=2&placement=1437067&sortBy=date
145,3d artist(new),https://www.vietnamworks.com/3d-artist-50-1436665-jd/?source=searchResults&searchType=2&placement=1437066&sortBy=date
146,system analyst - trainee (jwat & business program)(new),https://www.vietnamworks.com/system-analyst-trainee-jwat-business-program-1436664-jd/?source=searchResults&searchType=2&placement=1437065&sortBy=date
147,marketing executive(new),https://www.vietnamworks.com/marketing-executive-938-1-1-1436248-jd/?source=searchResults&searchType=2&placement=1436649&sortBy=date
148,trưởng phòng đào tạo(new),https://www.vietnamworks.com/truong-phong-dao-tao-118-1-1435823-jd/?source=searchResults&searchType=2&placement=1436224&sortBy=date
149,nhân viên tư vấn du học (thu nhập hấp dẫn)(new),https://www.vietnamworks.com/nhan-vien-tu-van-du-hoc-thu-nhap-hap-dan-2-1-1435818-jd/?source=searchResults&searchType=2&placement=1436219&sortBy=date
150,"kỹ sư thiết kế tủ điện - thu nhập hấp dẫn, cạnh tranh(new)",https://www.vietnamworks.com/ky-su-thiet-ke-tu-dien-thu-nhap-hap-dan-canh-tranh-1-1435806-jd/?source=searchResults&searchType=2&placement=1436207&sortBy=date
151,senior product manager(new),https://www.vietnamworks.com/senior-product-manager-33-1434654-jd/?source=searchResults&searchType=2&placement=1435055&sortBy=date
