,Title,Company,Location,Link,Review
46,"new
SENIOR DATABASE ANALYST","Ministry of Northern Development, Mines, Natural...","Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=3b4dd973e1ece34d&fccid=dd616958bd9ddc12&vjs=3,None
47,"new
Project Analyst 6",U.S. Bank,Remote,https://ca.indeed.com/rc/clk?jk=95b03193354b0e4e&fccid=ae5bfc395c530fbc&vjs=3,3.6
48,Data Insights and Performance Analyst,NRG,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=36b83ba0394f029f&fccid=ba62ec521e3e5609&vjs=3,3.8
49,CX Data Analyst - Customer Experience,Extreme Networks,"Thornhill, ON•Remote",https://ca.indeed.com/rc/clk?jk=8da2c40dd44158a0&fccid=3c1ccc4616711149&vjs=3,3.6
50,Business Analyst,Intact,"St. John's, NL+1 location•Remote",https://ca.indeed.com/rc/clk?jk=f0d803dc49e8a5a2&fccid=a614b30520ebe6c9&vjs=3,3.8
51,Data Analyst,Dapper Labs,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=a0d0bf43efe71081&fccid=d6486a0a13a20d3e&vjs=3,None
52,Customer Success Operations Analyst,PointClickCare,Remote,https://ca.indeed.com/rc/clk?jk=6bb1aecb2b2b213b&fccid=f3e403e0f1d59b84&vjs=3,3.7
53,"new
Analyst, Customer Retention",NRG,"Calgary, AB•Remote",https://ca.indeed.com/rc/clk?jk=432a6319263d2918&fccid=ba62ec521e3e5609&vjs=3,3.8
54,"new
FP&A Analyst",SnapTravel,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=396521c17cceaee2&fccid=960d8f54f5a1520f&vjs=3,None
55,Business Data Analyst,Carfax,"London, ON•Remote",https://ca.indeed.com/rc/clk?jk=eb3decd275a68300&fccid=2e34fbb9cb2e96bf&vjs=3,None
56,Data Analyst,MasterCard,"Vancouver, BC•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=76fe7864b334ab93&fccid=10b5c722d846df43&vjs=3,4.1
57,Senior Data Quality Assurance Analyst,Alberta Pensions Services,"Edmonton, AB•Remote",https://ca.indeed.com/rc/clk?jk=9046126570a10caf&fccid=08763ec4d29c34c8&vjs=3,2.5
58,"Business Analyst, End User Productivity",Ciena,Remote,https://ca.indeed.com/rc/clk?jk=758fbc06bd5b5c71&fccid=144a39be55e8440b&vjs=3,3.9
59,"Upstream Planning, Data Analyst - 12 month contract",Schneider Electric,"Brossard, QC•Remote",https://ca.indeed.com/rc/clk?jk=026e8785fb71ffd3&fccid=8dc4399ddb463d4a&vjs=3,3.9
60,"Advisory, Acceleration Centre, Business Analyst (Virtual)",PwC,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=8fa068e13de1fc86&fccid=5e964c4afc56b180&vjs=3,4.0
61,Remote Web Analyst,Pearson,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=b432b586d7f8596c&fccid=915b1c0ee87e5e8a&vjs=3,3.7
62,Sr Quality Assurance Analyst,WestJet,"Calgary, AB•Remote",https://ca.indeed.com/rc/clk?jk=b741d6b8c402ecc1&fccid=f18c1d5f3c78c7ca&vjs=3,3.9
63,Inventory Analyst,StarTech.com,"London, ON•Remote",https://ca.indeed.com/rc/clk?jk=6728d0eff7a4fa99&fccid=d658e4ef727e7574&vjs=3,3.6
64,"Analyst - Pricing, Cargo",WestJet,"Calgary, AB•Remote",https://ca.indeed.com/rc/clk?jk=064a53e6d3915df0&fccid=f18c1d5f3c78c7ca&vjs=3,3.9
65,Registrar's Office Functional Analyst,Capilano University,"North Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=345e5cf67b8969ea&fccid=81d0b88bf62a9cf0&vjs=3,3.5
66,Senior Data Analyst,League Inc,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=101a277e62677e68&fccid=f4a9bd63e3986889&vjs=3,3.0
