,Title,Company,Location,Link,Review
33,Looking for Leadership,Canada Border Services Agency,"Ottawa, ON•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=ac304890c6c202a2&fccid=0830fd104b8cae36&vjs=3,3.9
34,Co-Op Student - Analytics,Emera Energy,Remote,https://ca.indeed.com/company/Emera-Energy/jobs/Op-Student-e5988c5f7330ca36?fccid=2282f20565edc684&vjs=3,3.8
35,"new
Advisor Performance Reporting & Analytics",Enbridge,"North York, ON",https://ca.indeed.com/rc/clk?jk=0dcb93b73c81fde0&fccid=221c64eea0d34f50&vjs=3,3.9
36,"new
Back End Developer Intern (4 or 8 months)",IBM,"Markham, ON",https://ca.indeed.com/rc/clk?jk=906335196c7fd8a4&fccid=de71a49b535e21cb&vjs=3,3.9
37,"new
Analyst, Data & Analytics",Canada Life Assurance Company,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=8cf4e1fb5576dfff&fccid=1d6ec442ed82ef80&vjs=3,3.7
38,"new
Technical Specialist, Data Analytics/AI/ML, Google Cloud",Google,"Montréal, QC",https://ca.indeed.com/rc/clk?jk=cf736ad3c28f4bf6&fccid=a5b4499d9e91a5c6&vjs=3,4.3
39,Data & Analytics Intern (12 Months),BMW Group Canada,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=d2d492ab85187197&fccid=bf564b9e3f3db3fc&vjs=3,3.9
40,"new
Statistician Methodology and Analytics",PHSA,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=f96c64a8db3c38f3&fccid=f66f721a44de3765&vjs=3,3.2
41,"Specialist, Data and Analytics",Air Canada,"Dorval, QC",https://ca.indeed.com/rc/clk?jk=75b686e88b6e170f&fccid=fb805c6a170f5f18&vjs=3,3.8
42,"new
Advisor Insights & Analytics",Metro Inc.,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=a9bfdd926db6f909&fccid=0e72716ba678c6fb&vjs=3,3.5
43,Plant Operator (3 Positions),Carbon Engineering Ltd.,"Squamish, BC",https://ca.indeed.com/rc/clk?jk=43b0f0ebc095926f&fccid=cdb8d8e586239b40&vjs=3,None
44,INTERNSHIP - Software Development Intern (Winter 2022),ABB,"Quebec City, QC",https://ca.indeed.com/rc/clk?jk=6c98ccc7dd88b30b&fccid=38b4474838e7b7a1&vjs=3,3.9
45,"new
data scientist",Tiger Analytics Inc.,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=f7fc1a9832ce87e7&fccid=cba01270e96bb012&vjs=3,None
46,Data Annotator,Moveworks.ai,Remote,https://ca.indeed.com/rc/clk?jk=51e95a8260a92200&fccid=5b4ea6c0422a3b24&vjs=3,None
47,"new
Partner - Customer Analytics",KANTAR,"Toronto, ON•Remote",https://ca.indeed.com/rc/clk?jk=5b6b6d0a7ef75715&fccid=fc0eeff012676923&vjs=3,3.7
48,"new
Junior Data Analyst",O2E Brands,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=1fd5cc124fd8fcaf&fccid=47b2425a6076f68f&vjs=3,4.1
49,"Esports Digital & Content Strategist, Strategy & Analytics",MLSE,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=529672ff85dfc797&fccid=608c8688fdbf21ee&vjs=3,4.2
50,Data Analytics Intern - Winter 2022 Co-op,Avanade,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=89e5d4d258fc76c5&fccid=5386281035076fdf&vjs=3,3.7
51,"new
Data Scientist - Data Analytics",TELUS,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=296e973ca3945709&fccid=ed81336789a877c2&vjs=3,3.9
52,"new
Data Analyst (Entry Level)",Jarvis,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=42af005c850840c8&fccid=be1d61a97eeef180&vjs=3,None
53,"new
Manager, Analytics",Government of Alberta,"Edmonton, AB•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=f46535f6f2a48280&fccid=06eb55e7689c0bc2&vjs=3,4.0
54,Business Analyst,Remsoft,"Fredericton, NB•Remote",https://ca.indeed.com/rc/clk?jk=5c85c79f88dff1d1&fccid=1773fe7f170a5f75&vjs=3,None
55,"new
Data Analyst",Carbon Engineering Ltd.,"Vancouver, BC•Remote",https://ca.indeed.com/rc/clk?jk=868d3c1024596e62&fccid=cdb8d8e586239b40&vjs=3,None
56,"new
Data Analyst",Intact,"Ajax, ON+1 location•Remote",https://ca.indeed.com/rc/clk?jk=0c9ffa6d877d581d&fccid=a614b30520ebe6c9&vjs=3,3.8
57,"new
Data Analytics Student (12 month term)",AESO,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=3ba4fefb8860be26&fccid=90e5c15fe55df102&vjs=3,3.9
58,Data Analyst (Analytics Platform),Ford Motor Company,"Waterloo, ON",https://ca.indeed.com/rc/clk?jk=5f37411a38341444&fccid=761c44c17d636bfe&vjs=3,4.1
59,"new
Financial Modelling Manager (Deals Insights & Analytics)",PwC,"London, ON",https://ca.indeed.com/rc/clk?jk=dc9ca94975937f1e&fccid=5e964c4afc56b180&vjs=3,4.0
60,"new
Manager - Data Analytics",Rogers Communications,"Toronto, ON•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=4b76ec8924920caf&fccid=b5583ca8df6a68c3&vjs=3,3.7
61,"Manager, Data Analytics & Innovation",TC Energy,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=614d2c1ca8c14ade&fccid=081fde6f9300ea51&vjs=3,4.0
62,"new
Research Engineer",Natural Resources Canada,"Ottawa, ON•Temporarily Remote",https://ca.indeed.com/rc/clk?jk=eb2fccf5a77919f2&fccid=70ae16371d561945&vjs=3,4.1
63,"new
DI ETL Developer - Data Analytics",Innovapost,"Mississauga, ON",https://ca.indeed.com/rc/clk?jk=ceb10a172fae479d&fccid=2bf8026993eece77&vjs=3,3.6
64,Production Technician,ABB,"Quebec City, QC",https://ca.indeed.com/rc/clk?jk=a00680730c16f181&fccid=38b4474838e7b7a1&vjs=3,3.9
65,"Consultant, Data Analytics",INTERIOR HEALTH AUTHORITY,"Kelowna, BC+1 location",https://ca.indeed.com/rc/clk?jk=cc65ddcb5126861b&fccid=819aaf068231c6d3&vjs=3,3.2
66,"new
Social Media Officer",The Ottawa Hospital,"Ottawa, ON",https://ca.indeed.com/rc/clk?jk=127fb515bd903273&fccid=bfb3c738843a50f4&vjs=3,4.1
67,"Data Analyst Intern, Strategic Analytics",Scotiabank,"Hamilton, ON",https://ca.indeed.com/rc/clk?jk=cc655ab85976fbcc&fccid=3002307a9e5b4706&vjs=3,3.9
68,"Sales Strategy & Operations Manager, Embedded Analytics",Visier Inc.,Remote,https://ca.indeed.com/rc/clk?jk=7fb08d32f7867ee1&fccid=7bcc6e90bcef893c&vjs=3,3.7
69,"new
Instructor – Information Technology: Business and Advanced A...",New Brunswick Community College (NBCC),"Saint John, NB",https://ca.indeed.com/rc/clk?jk=be77687d5c8c5a99&fccid=4d007c0452f6c124&vjs=3,None
70,"new
Booking Services Clerk",City of Ottawa,"Ottawa, ON",https://ca.indeed.com/rc/clk?jk=d23e8dac0e818a66&fccid=06f0c906048a9394&vjs=3,4.3
71,"new
Director, Systems and Analytics",Queen's University,"Kingston, ON",https://ca.indeed.com/rc/clk?jk=a4cbf5d783c528f7&fccid=a499083ea4884469&vjs=3,4.3
72,"Specialist, Strategy & Analytics",Bell Canada,"Don Mills, ON",https://ca.indeed.com/rc/clk?jk=c1370353bc814851&fccid=b726a5ebc0841dee&vjs=3,3.8
73,Data And Analytics Intern: Winter 2022 Co-op Term,HSB BI&I,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=eab69ef677f04838&fccid=03287ae7e98c7ec0&vjs=3,None
74,"new
Delivery Driver - Min $20.60/hr",Staples,"Mississauga, ON+1 location",https://ca.indeed.com/rc/clk?jk=560e5c33e2981f1f&fccid=5fb424bf650ac38a&vjs=3,3.6
75,"new
Manager, Business Insights and Analytics",BMO Financial Group,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=276da2563c13e3d8&fccid=3a429036b3725efa&vjs=3,3.8
76,"Director, EA Sports Analytics",Electronic Arts,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=ec4a289fca31fbad&fccid=617d7f961cfcf54a&vjs=3,3.8
77,"Associate, People & Culture",MaRS Discovery District,"Toronto, ON•Remote",https://ca.indeed.com/company/MaRS-Discovery-District/jobs/Associate-835af9c9c53baa16?fccid=ea47c424c636fe2c&vjs=3,None
78,Sustainability/Environmental Assessment Intern,Geotab,"Oakville, ON•Remote",https://ca.indeed.com/rc/clk?jk=1baa9c1c2f8da447&fccid=31921a4bf53a6026&vjs=3,3.1
79,"new
Data & Analytics Senior Manager (Deals Insights & Analytics)",PwC,"London, ON",https://ca.indeed.com/rc/clk?jk=72289d013de88160&fccid=5e964c4afc56b180&vjs=3,4.0
80,"SAP iXp Intern - Technical Project Coordinator, SAP Cloud An...",SAP,"Vancouver, BC",https://ca.indeed.com/rc/clk?jk=bc692a6ff56de954&fccid=156c7820d1988640&vjs=3,4.3
81,"new
Director, Support Revenue Operations",Shopify,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=a60b066533db77a9&fccid=d5a5824be27ba831&vjs=3,3.9
82,EPIDEMIOLOGIST,City of Toronto,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=ea2a32951c171abc&fccid=f2087b51205d4920&vjs=3,4.2
