,Title,Link
0,Senior DevOps Engineer (Hanoi & HCMC)(NEW),https://www.vietnamworks.com/senior-devops-engineer-hanoi-hcmc-1437970-jd/?source=searchResults&searchType=2&placement=1437971&sortBy=date
1,Senior IT (Opportunity to Become IT Manager)(NEW),https://www.vietnamworks.com/senior-it-opportunity-to-become-it-manager-1433091-jd/?source=searchResults&searchType=2&placement=1433092&sortBy=date
2,"Nhân Viên Kinh Doanh Quốc Tế Làm Việc Tại Tây Phi (Tiếng Anh Tốt, Ưu Tiên Sinh Viên Mới Ra Trường)(NEW)",https://www.vietnamworks.com/nhan-vien-kinh-doanh-quoc-te-lam-viec-tai-tay-phi-tieng-anh-tot-uu-tien-sinh-vien-moi-ra-truong-1-1434157-jd/?source=searchResults&searchType=2&placement=1434158&sortBy=date
3,Technical Service Manager (Solar Inverter)(NEW),https://www.vietnamworks.com/technical-service-manager-solar-inverter-1-1434006-jd/?source=searchResults&searchType=2&placement=1434007&sortBy=date
4,Business Development Executive (Solar Energy)(NEW),https://www.vietnamworks.com/business-development-executive-solar-energy-2-1434040-jd/?source=searchResults&searchType=2&placement=1434041&sortBy=date
5,Chuyên Viên Quan Hệ Khách Hàng - [BAC A BANK - Chi Nhánh Đông Anh/ Gia Lâm/ Khu Vực Hà Nội/ Quảng Ninh/ Hà Giang](NEW),https://www.vietnamworks.com/chuyen-vien-quan-he-khach-hang-bac-a-bank-chi-nhanh-dong-anh-gia-lam-khu-vuc-ha-noi-quang-ninh-ha-giang-1431466-jd/?source=searchResults&searchType=2&placement=1431467&sortBy=date
6,Lean Officer(NEW),https://www.vietnamworks.com/lean-officer-6-1439554-jd/?source=searchResults&searchType=2&placement=1439555&sortBy=date
7,DevOps Engineer(NEW),https://www.vietnamworks.com/devops-engineer-110-1-1-1-1439541-jd/?source=searchResults&searchType=2&placement=1439542&sortBy=date
8,Accountant (8 month Temporary)(NEW),https://www.vietnamworks.com/accountant-8-month-temporary-1-1439561-jd/?source=searchResults&searchType=2&placement=1439562&sortBy=date
9,IT Engineer(NEW),https://www.vietnamworks.com/it-engineer-116-1-1-1-1439557-jd/?source=searchResults&searchType=2&placement=1439558&sortBy=date
10,Chuyên Viên Kiểm Soát Tuân Thủ(NEW),https://www.vietnamworks.com/chuyen-vien-kiem-soat-tuan-thu-16-1-2-1439553-jd/?source=searchResults&searchType=2&placement=1439554&sortBy=date
11,Area Sales Manager B2C(NEW),https://www.vietnamworks.com/area-sales-manager-b2c-1-1439545-jd/?source=searchResults&searchType=2&placement=1439546&sortBy=date
12,Game – Product Planning and Communication Specialist (HCM)(NEW),https://www.vietnamworks.com/game-product-planning-and-communication-specialist-hcm-1-1439542-jd/?source=searchResults&searchType=2&placement=1439543&sortBy=date
13,Sales Back Office(NEW),https://www.vietnamworks.com/sales-back-office-10-2-1-1439539-jd/?source=searchResults&searchType=2&placement=1439540&sortBy=date
14,Chuyên Viên Triển Khai Phần Mềm ERP / ERP Specialist(NEW),https://www.vietnamworks.com/chuyen-vien-trien-khai-phan-mem-erp-erp-specialist-1438267-jd/?source=searchResults&searchType=2&placement=1438268&sortBy=date
15,[HN] Data Engineer(NEW),https://www.vietnamworks.com/hn-data-engineer-2-1431499-jd/?source=searchResults&searchType=2&placement=1431500&sortBy=date
16,Chuyên Viên Pháp Chế(NEW),https://www.vietnamworks.com/chuyen-vien-phap-che-510-1-1429155-jd/?source=searchResults&searchType=2&placement=1429156&sortBy=date
17,Purchasing Executive (New Project)(NEW),https://www.vietnamworks.com/purchasing-executive-new-project-1-1436789-jd/?source=searchResults&searchType=2&placement=1436790&sortBy=date
18,Quản Lý Dự Án(NEW),https://www.vietnamworks.com/quan-ly-du-an-167-1431415-jd/?source=searchResults&searchType=2&placement=1431416&sortBy=date
19,Business Development Executive(NEW),https://www.vietnamworks.com/business-development-executive-342-1429154-jd/?source=searchResults&searchType=2&placement=1429155&sortBy=date
20,Hà Nội - Trưởng Nhóm/cvcc Lập Trình Viên Mobileapp(NEW),https://www.vietnamworks.com/ha-noi-truong-nhom-cvcc-lap-trinh-vien-mobileapp-1437504-jd/?source=searchResults&searchType=2&placement=1437505&sortBy=date
21,[Vinhomes] Chuyên Gia Công Nghệ Thông Tin(NEW),https://www.vietnamworks.com/vinhomes-chuyen-gia-cong-nghe-thong-tin-1435393-jd/?source=searchResults&searchType=2&placement=1435394&sortBy=date
22,Business Development Executive - Account Executive (Sales) - Based in Ha Noi(NEW),https://www.vietnamworks.com/business-development-executive-account-executive-sales-based-in-ha-noi-1439528-jd/?source=searchResults&searchType=2&placement=1439529&sortBy=date
23,"[ Bình Dương, Bình Phước ] Nhân Viên Kinh Doanh - Kênh GT(NEW)",https://www.vietnamworks.com/binh-duong-binh-phuoc-nhan-vien-kinh-doanh-kenh-gt-1439415-jd/?source=searchResults&searchType=2&placement=1439416&sortBy=date
24,Financial Analyst(NEW),https://www.vietnamworks.com/financial-analyst-73-2-1436784-jd/?source=searchResults&searchType=2&placement=1436785&sortBy=date
25,Business Analyst (IT Industry)(NEW),https://www.vietnamworks.com/business-analyst-it-industry-3-1-1-1-1-1438968-jd/?source=searchResults&searchType=2&placement=1438969&sortBy=date
26,IT Manager – Back Office Division(NEW),https://www.vietnamworks.com/it-manager-back-office-division-1436707-jd/?source=searchResults&searchType=2&placement=1436708&sortBy=date
27,Trade Operation Officer(NEW),https://www.vietnamworks.com/trade-operation-officer-1434015-jd/?source=searchResults&searchType=2&placement=1434016&sortBy=date
28,Nhân Viên PR - Quản Lý Đô Thị(NEW),https://www.vietnamworks.com/nhan-vien-pr-quan-ly-do-thi-1434010-jd/?source=searchResults&searchType=2&placement=1434011&sortBy=date
29,Service Advisor (Rolls-Royce Motorcars)(NEW),https://www.vietnamworks.com/service-advisor-rolls-royce-motorcars-1-1433581-jd/?source=searchResults&searchType=2&placement=1433582&sortBy=date
30,IT Helpdesk(NEW),https://www.vietnamworks.com/it-helpdesk-72-1-1-1430259-jd/?source=searchResults&searchType=2&placement=1430260&sortBy=date
31,HCM - Chuyên Viên Quan Hệ Khách Hàng Doanh Nghiệp(NEW),https://www.vietnamworks.com/hcm-chuyen-vien-quan-he-khach-hang-doanh-nghiep-3-1430222-jd/?source=searchResults&searchType=2&placement=1430223&sortBy=date
32,Software Engineer (C/C++ or Java) - Sign On Bonus & Relocation Bonus(NEW),https://www.vietnamworks.com/software-engineer-c-c-plus-plus-or-java-sign-on-bonus-relocation-bonus-1431442-jd/?source=searchResults&searchType=2&placement=1431443&sortBy=date
33,Rider E-Learning Executive(NEW),https://www.vietnamworks.com/rider-e-learning-executive-1431348-jd/?source=searchResults&searchType=2&placement=1431349&sortBy=date
34,QC Specialist/ Kiểm Soát Viên Đa Năng(NEW),https://www.vietnamworks.com/qc-specialist-kiem-soat-vien-da-nang-1430172-jd/?source=searchResults&searchType=2&placement=1430173&sortBy=date
35,Specifier Engineer(NEW),https://www.vietnamworks.com/specifier-engineer-1431884-jd/?source=searchResults&searchType=2&placement=1431885&sortBy=date
36,Dealer Operation Staff(NEW),https://www.vietnamworks.com/dealer-operation-staff-1-1436772-jd/?source=searchResults&searchType=2&placement=1436773&sortBy=date
